,ROLES,Companies,Experience,Salary,Location,Skills,Search,Clean_data,Title_new
0,data scientist/analyst - machine learning/deep learning,EchoIndia,3-6 ,,Delhi,"python,machine learning,tableau,power bi,arcgis,google maps,nlp","data scientist/analyst - machine learning/deep learning,Delhi",data scientist analyst machine learning deep learning delhi,Scientist
1,"data scientist, machine learning",Fractal Analytics Ltd,3-7 ,,Bengaluru,"upply chain management,linux,rf,rdbms,bfsi,consulting,data structures,healthcare","data scientist, machine learning,Bengaluru",data scientist machine learning bengaluru,Scientist
2,"data scientist, i",iXplore Technologies,0-2 ,,Bengaluru,"oftware development,machine learning,big data,computer science,data analysis,metadata,coding","data scientist, i,Bengaluru",data scientist bengaluru,Scientist
3,explore job openings on data scientist!!,Bristlecone India Limited,4-9 ,300000 - 800000 ,India,"python,data science,machine learning,cloud,aws,azure,data scientist","explore job openings on data scientist!!,India",explore job opening data scientist india,Scientist
4,inviting application for data scientist - manager/sr. manager - blr,GENPACT India Private Limited,6-11 ,,Bengaluru,"machine learning,statistics,deep learning,recommendation engine,exploratory data analysis,customer churning,data visualization,python","inviting application for data scientist - manager/sr. manager - blr,Bengaluru",inviting application data scientist manager sr manager blr bengaluru,Manager
5,senior principal software engineer - it (data scientist),Dell International Services IndiaPrivate Limited,10-12 ,,Bengaluru,"python,testing,machine learning,pytorch,predictive modeling,pyspark,r","senior principal software engineer - it (data scientist),Bengaluru",senior principal software engineer data scientist bengaluru,Lead
6,data scientist/analyst – it department,Nandan Denim Limited,7-8 ,,Ahmedabad,"data analysis,statistical modeling,predictive modeling,r,nlp,artificial intelligence,text mining,machine learning","data scientist/analyst – it department,Ahmedabad",data scientist analyst department ahmedabad,Scientist
7,assistant manager/ manager/ data scientist - python/ machine learning,Huquo Consulting Pvt. Ltd,3-8 ,,Bengaluru,"data science,predictive modeling,nlp,data scientist,data management,machine learning,python","assistant manager/ manager/ data scientist - python/ machine learning,Bengaluru",assistant manager manager data scientist python machine learning bengaluru,Manager
8,data scientist - machine learning,Catalyst,2-7 ,,Bengaluru,"data science,data quality,data scientist,statistical modeling,statistical analyst,machine learning","data scientist - machine learning,Bengaluru",data scientist machine learning bengaluru,Scientist
9,immediate opening for data scientist/data analyst,CAIA-Center For Artificial Intelligence & Advanced Analytics,0-3 ,350000 - 450000 ,India,"business intelligence,artificial intelligence,natural language processing,neural networks,data mining,machine learning,deep learning,sql","immediate opening for data scientist/data analyst,India",immediate opening data scientist data analyst india,Scientist
10,lead data scientist (machine learning),Dream11 Inc,5-8 ,,Mumbai,"backend,nginx,cassandra,mysql,machine learning,manager technology,mongodb,rpm","lead data scientist (machine learning),Mumbai",lead data scientist machine learning mumbai,Lead
11,urgent opening for data scientists,Sitel India Pvt Ltd,8-11 ,700000 - 1600000 ,India,"pytorch,data science,supervised learning,nlp,natural language processing,keras,machine learning,deep learning","urgent opening for data scientists,India",urgent opening data scientist india,Scientist
12,sr data scientist,Valence Health,2-5 ,,Pune,"data science,machine learning,publishing,data science,infrastructure management,analytical,machine learning","sr data scientist,Pune",sr data scientist pune,Scientist
13,looking for data scientists,Maples Imaging Solution Private Limited,4-8 ,,India,"python,machine learning,fractal,neural networks,data mining","looking for data scientists,India",looking data scientist india,Scientist
14,senior data scientist,R Systems International Ltd.,7-11 ,,Delhi NCR,"machine learning,nlp,opencv,image processing,machine learning,python","senior data scientist,Delhi NCR",senior data scientist delhi ncr,Lead
15,artificial intelligence expert - data scientist/ machine learning,New Era India,11-15 ,,United States,"machine learning,speech recognition,nlp,artificial intelligence,image processing,data scientist,computer vision","artificial intelligence expert - data scientist/ machine learning,United States",artificial intelligence expert data scientist machine learning united state,Scientist
16,data scientist - nlp/ machine learning,Inhapp Consultancy,5-8 ,,India,"ensorflow,nlp,artificial intelligence,data scientist,data management,aws,algorithm,machine learning","data scientist - nlp/ machine learning,India",data scientist nlp machine learning india,Scientist
17,data scientist,Parexel International India Pvt. Ltd.,4-7 ,,Hyderabad,"r,olap,data visualization,tableau,data modeling,oltp,data analytics,grafana","data scientist,Hyderabad",data scientist hyderabad,Scientist
18,data scientist,PayU India,3-5 ,,India,"java,python,testing,machine learning,big data,computer science,emi","data scientist,India",data scientist india,Scientist
19,senior data scientist,GROUPON SHARED SERVICES PVT LTD,4-8 ,,Bengaluru,"natural language processing,machine learning,python","senior data scientist,Bengaluru",senior data scientist bengaluru,Lead
20,sr. data scientist,AVE-Promagne,6-11 ,,India,"python,testing,data science,machine learning,big data,data science,neural networks","sr. data scientist,India",sr data scientist india,Scientist
21,senior data scientist- computer vision,Walmart Labs,3-6 ,,Bengaluru,"raining,computer vision,deep learning,data science,neural networks,machine learning,agile,wellness","senior data scientist- computer vision,Bengaluru",senior data scientist computer vision bengaluru,Lead
22,trainer - data scientist/ aiml engineer,WEBI7 DIGITAL CONSULTANT LLP,3-6 ,,Bengaluru(Marathahalli),"pytorch,tensorflow,data science,rnn,nlp,artificial intelligence,machine learning,deep learning","trainer - data scientist/ aiml engineer,Bengaluru(Marathahalli)",trainer data scientist aiml engineer bengaluru marathahalli,Scientist
23,data scientist,CloudTara Technologies Private Limited,0-2 ,300000 - 600000 ,Bengaluru,"atistical modeling,deep learning,python,it skills,python,selenium,machine learning,pytorch","data scientist,Bengaluru",data scientist bengaluru,Scientist
24,data scientist - 11,Accenture Solutions Pvt Ltd,0-3 ,,Bengaluru,"python,analyst,networking,consulting,manager technology,business modeling,professional services","data scientist - 11,Bengaluru",data scientist bengaluru,Scientist
25,data scientist,Xceedance,4-5 ,,Delhi NCR,"computer science,managed services,simulation,coding,risk assessment,machine learning,workflow,open source","data scientist,Delhi NCR",data scientist delhi ncr,Scientist
26,sr data scientist,HERE,5-9 ,,Mumbai,"python,testing,data science,machine learning,big data,gis,data analysis","sr data scientist,Mumbai",sr data scientist mumbai,Scientist
27,sr data scientist (quality testing and statistics),HERE Technologies,5-9 ,,India,"python,testing,data science,machine learning,big data,data scientist,quality testing","sr data scientist (quality testing and statistics),India",sr data scientist quality testing statistic india,Scientist
28,senior data scientist,Adviserlogic Software Private Limited,5-10 ,,Mumbai,"java,python,artificial intelligence,devops,jenkins,aws,tableau","senior data scientist,Mumbai",senior data scientist mumbai,Lead
29,senior data scientist (nlp),Visible Alpha Solutions India Pvt. Ltd.,5-10 ,,Mumbai,"java,python,cloud,java,r,text extraction,nlp","senior data scientist (nlp),Mumbai",senior data scientist nlp mumbai,Lead
30,data scientist - analytics/machine learning,Recrumart,5-8 ,,Bengaluru,"machine learning,product management,azure,data science,predictive modeling,r,azure","data scientist - analytics/machine learning,Bengaluru",data scientist analytics machine learning bengaluru,Scientist
31,lead data scientist - deep learning/machine learning,Okda Solutions,2-7 ,,Bengaluru,"python,machine learning,r,opencv,data scientist,data management,time series forecasting","lead data scientist - deep learning/machine learning,Bengaluru",lead data scientist deep learning machine learning bengaluru,Lead
32,senior data scientist,GREEN WORK INTEGRATED TECHNOLOGIES PRIVATE LIMITED,5-10 ,1000000 - 2000000 ,Hyderabad,"ensorflow,artificial intelligence,computer vision,it skills,python,machine learning,artificial intelligence,pytorch","senior data scientist,Hyderabad",senior data scientist hyderabad,Lead
33,sr. data scientist,careator technologies,12-15 ,,"Hyderabad, Noida","python,machine learning,text mining,computer vision,pdf,web technologies,data science","sr. data scientist,Hyderabad, Noida",sr data scientist hyderabad noida,Scientist
34,senior data scientist (azure),Microsoft India (R and D) Pvt Ltd,6-10 ,,"Hyderabad, telangana","python,testing,machine learning,program management,azure,computer science,cloud computing","senior data scientist (azure),Hyderabad, telangana",senior data scientist azure hyderabad telangana,Lead
35,hiring for data scientist 3-7 years experience,Hyper Thread Solutions Pvt. Ltd.,3-7 ,,Hyderabad,"python,data science,machine learning,artificial intelligence,tensorflow,nltk,data science","hiring for data scientist 3-7 years experience,Hyderabad",hiring data scientist year experience hyderabad,Scientist
36,data scientist/business technology analyst - python/r/sql - startup,SV Talent Partner,1-4 ,,Gurgaon Gurugram,"python,project management,tableau,bpo,project management,business intelligence tools,r","data scientist/business technology analyst - python/r/sql - startup,Gurgaon Gurugram",data scientist business technology analyst python r sql startup gurgaon gurugram,Scientist
37,data scientist - r/python/machine learning,The Skill Labs,2-5 ,,Mumbai,"java,java,r,nosql,data scientist,sqlite,data management","data scientist - r/python/machine learning,Mumbai",data scientist r python machine learning mumbai,Scientist
38,senior data scientist,Ellie Mae,7-9 ,,Pune,"python,software development,testing,data science,machine learning,product management,computer science","senior data scientist,Pune",senior data scientist pune,Lead
39,data analyst /data scientist,2Coms Consulting Pvt Ltd.,3-7 ,1200000 - 2200000 ,Jamshedpur,"r,statistical,data scientist,unstructured,data analyst,quantitative,machine learning,python","data analyst /data scientist,Jamshedpur",data analyst data scientist jamshedpur,Scientist
40,data scientist (graph),PayU India,5-10 ,,Bengaluru,"python,data science,machine learning,aws,computer science,emi,neo4j","data scientist (graph),Bengaluru",data scientist graph bengaluru,Scientist
41,lead data scientist,ALTEN CALSOFT LABS (INDIA) PRIVATE LIMITED,8-13 ,,Bengaluru(Dairy Circle),"data science,artificial intelligence,machine learning,it skills,python,big data,tableau,power bi","lead data scientist,Bengaluru(Dairy Circle)",lead data scientist bengaluru dairy circle,Lead
42,junior data scientist,Larsen & Toubro Infotech Limited,3-8 ,,India,"python,machine learning,cluster analysis,statistical modeling,analytical,machine learning,manager technology","junior data scientist,India",junior data scientist india,Scientist
43,data scientist (sql +r /python + nlp +artificial intelligence ) for pr,I Square Soft,3-5 ,,Bengaluru,"python,artificial intelligence,nlp,data scientist,artificial intelligence,r or python,modelling","data scientist (sql +r /python + nlp +artificial intelligence ) for pr,Bengaluru",data scientist sql r python nlp artificial intelligence pr bengaluru,Scientist
44,lead data scientist,LUXOFT,10-15 ,,Bengaluru,"computer science,social media,cms,html,http,adobe,ims,sql","lead data scientist,Bengaluru",lead data scientist bengaluru,Lead
45,data scientist- 7-9 yrs - bangalore- 30 days joiners only,Vision Beyond Resources India Private Limited,7-9 ,1800000 - 2000000 ,Bengaluru,"python,cloud,azure,data scientist,data science","data scientist- 7-9 yrs - bangalore- 30 days joiners only,Bengaluru",data scientist yr bangalore day joiner bengaluru,Scientist
46,data scientist (bank),Snaphunt,4-9 ,,Bengaluru,"business solutions,computer science,data analysis,data mining,data modeling,data analytics,statistical analysis,statistics","data scientist (bank),Bengaluru",data scientist bank bengaluru,Scientist
47,"data scientist - python, nlp, text mining",Dun & Bradstreet Technologies & Data Services Pvt Ltd.,2-6 ,,Bengaluru,"r,model implementation,nlp,natural language processing,advanced analytics,data mining,text mining,analytics","data scientist - python, nlp, text mining,Bengaluru",data scientist python nlp text mining bengaluru,Scientist
48,data scientist - artificial intelligence/ machine learning,Okda Solutions,4-8 ,,Hyderabad,"oracle,html,tableau,data science,r,nlp,nosql","data scientist - artificial intelligence/ machine learning,Hyderabad",data scientist artificial intelligence machine learning hyderabad,Scientist
49,data scientist opening,Ojas Innovative Technologies Private Limited,6-7 ,,India,"python,data scientist,python","data scientist opening,India",data scientist opening india,Scientist
50,data science manager (staff data scientist i/staff data scientist ii),Visible Alpha Solutions India Pvt. Ltd.,10-15 ,,Mumbai,"python,machine learning,big data,data analytics,sql,machine learning,algorithms","data science manager (staff data scientist i/staff data scientist ii),Mumbai",data science manager staff data scientist staff data scientist ii mumbai,Manager
51,data scientist - manufacturer of high quality storage products,NewAge Product Designs Pvt Ltd,5-10 ,,Mumbai,"python,predictive modeling,neural networks,business solutions,product data management,clustering,machine learning,inventory management","data scientist - manufacturer of high quality storage products,Mumbai",data scientist manufacturer high quality storage product mumbai,Scientist
52,data scientist,KONGSBERG MARITIME INDIA PRIVATE LIMITED,5-10 ,700000 - 1100000 ,Mumbai,"communication skills,azure functions,data analysis,spark,sql azure,iot,python","data scientist,Mumbai",data scientist mumbai,Scientist
53,data scientist - python/pandas/numpy,Catalyst,3-8 ,,Bengaluru,"python,machine learning,tensorflow,data scientist,pandas,machine learning,numpy","data scientist - python/pandas/numpy,Bengaluru",data scientist python panda numpy bengaluru,Scientist
54,only fresher / data scientist / data analyst / business analytics- mnc,GABA Consultancy services,0-0 ,225000 - 475000 ,India,"o2c,fresher data analyst,power bi,banking,data management,tableau,marketing analytics,graduate fresher","only fresher / data scientist / data analyst / business analytics- mnc,India",fresher data scientist data analyst business analytics mnc india,Scientist
55,senior data scientist,SYMBIOSIS International W.L.L,9-10 ,85000 - 95000 ,Dubai/ UAE,"cloudera,scala,impala,cdh,spark,machine learning,python","senior data scientist,Dubai/ UAE",senior data scientist dubai uae,Lead
56,data scientist/data engineer,SEKAI,2-6 ,,Remote,"java,python,machine learning,cloud,javascript,big data,gis","data scientist/data engineer,Remote",data scientist data engineer remote,Scientist
57,sr. data scientist,Thinkrisk Digital Technologies,5-10 ,50000 - 100000 ,Kochi,"data science,deep learning,python,it skills,python,cloud,devops,big data","sr. data scientist,Kochi",sr data scientist kochi,Scientist
58,data scientist r/python,GENPACT India Private Limited,4-8 ,,Bengaluru,"ensorflow,logistic regression,nlg,machine learning,weka,statistics,deep learning,torch","data scientist r/python,Bengaluru",data scientist r python bengaluru,Scientist
